player_name,plus_minus,eFG_avg,winning_perct,total_games,pts,Score,year_count,plus_minus_x,eFG_avg_x,winning_perct_x,total_games_x,pts_x,Score_x,year_count_x,plus_minus_y,eFG_avg_y,winning_perct_y,total_games_y,pts_y,Score_y,year_count_y,total_year_count,total_score,avg_score,Rank
Monte Morris,2.1829268292682933,55.982905982905976,65.85365853658537,82,10.37804878,28.160970397872838,1,3.8857142857142857,54.362416107382536,60.0,35,10.444444444444443,25.578699264940873,1,0.7671232876712328,51.67844522968198,63.01369863013698,73,9.041095890410961,25.336734595091727,1,3,25.526339319200613,8.508779773066871,137
Furkan Korkmaz,1.25,49.59183673469387,62.5,48,5.8125,21.72295918367347,1,0.68,49.16666666666666,68.0,25,8.703703703703704,22.333888888888886,1,1.1944444444444444,55.683836589698046,58.33333333333334,72,9.777777777777779,26.60290359186896,1,3,25.50510343086317,8.501701143621057,138
Royce O'Neale,2.1097560975609757,57.43440233236153,60.97560975609756,82,5.195121951,25.151893265885505,1,6.3888888888888875,58.685446009389665,75.0,36,7.526315789473684,26.33437319825385,1,3.056338028169014,55.89041095890411,61.97183098591549,71,6.338028169014086,25.18809569747251,1,3,25.41554107604943,8.47184702534981,139
Mason Plumlee,0.8292682926829268,59.50226244343892,65.85365853658537,82,7.768292682999999,27.13654122065973,1,-3.3823529411764706,60.66945606694561,26.470588235294123,34,10.388888888888893,23.578638526540324,1,-0.9016393442622952,61.45833333333334,62.295081967213115,61,7.163934426229508,25.602288251366126,1,3,25.274270954865642,8.424756984955215,140
Chris Boucher,-0.5,52.6315789473684,75.0,28,3.321428571,20.175751879442103,1,2.861111111111111,62.888198757763966,47.22222222222222,36,14.078947368421053,29.045806999382513,1,1.596774193548387,53.51170568561874,72.58064516129029,62,6.629032258064518,24.483571582695006,1,3,25.18062768086986,8.393542560289953,141
Derrick White,2.253731343283582,52.30202578268877,61.19402985074627,67,9.895522388,25.985954206830403,1,2.6666666666666665,45.21276595744681,55.55555555555557,9,11.7,22.217635933806147,1,0.6323529411764706,52.989130434782616,47.058823529411754,68,11.25,25.908312020460357,1,3,25.174058912448018,8.391352970816007,142
Bryn Forbes,-0.0975609756097561,56.76359039190898,58.536585365853654,82,11.79268293,28.26894638036749,1,-0.027777777777777776,60.81081081081082,61.111111111111114,36,9.631578947368421,25.83026118223487,1,-3.4444444444444446,54.38898450946644,42.857142857142854,63,11.222222222222221,24.762325492445974,1,3,25.15124367479983,8.383747891599944,143
Jeremy Lamb,0.620253164556962,49.89785495403473,48.101265822784825,79,15.29113924,28.15927386478716,1,-2.095238095238096,57.57575757575758,38.095238095238095,21,10.909090909090908,23.37034632034632,1,-0.021739130434782608,50.62630480167015,58.69565217391305,46,12.543478260869565,25.41201098302623,1,3,25.141041194578296,8.380347064859432,144
Lonzo Ball,-0.3404255319148936,48.79385964912281,53.19148936170214,47,9.893617021,23.059103209987086,1,1.303030303030303,54.88997555012225,42.42424242424242,33,14.085714285714285,26.270892155928827,1,-0.4126984126984127,51.09170305676857,41.26984126984127,63,11.825396825396824,24.9784813197477,1,3,25.140994581495896,8.380331527165298,145
Landry Shamet,0.810126582278481,58.0789946140036,64.55696202531645,79,9.139240506,27.38367270393634,1,-1.0303030303030305,51.85185185185186,63.63636363636363,33,8.285714285714286,22.50863395863396,1,2.320754716981132,54.60358056265986,64.15094339622641,53,9.283018867924527,25.658442310476282,1,3,25.114742159780818,8.37158071992694,146
Danuel House Jr.,4.564102564102563,61.5079365079365,69.23076923076923,39,9.384615385,27.560317460548227,1,-7.6818181818181825,46.73913043478261,31.818181818181817,22,9.090909090909092,17.909782608695654,1,2.031746031746032,54.6382189239332,63.492063492063494,63,10.507936507936508,26.79685631828489,1,3,25.05761463348021,8.35253821116007,147
Jalen Brunson,-1.1506849315068493,52.3008849557522,36.98630136986301,73,9.287671233,23.859467814354492,1,-0.0967741935483871,60.90225563909776,54.838709677419345,31,12.93939393939394,27.256942208894678,1,3.017543859649123,52.19072164948454,59.649122807017534,57,8.175438596491228,24.539785675529032,1,3,25.049201089143434,8.349733696381145,148
JaMychal Green,-3.323076923076924,55.77731092436974,47.69230769230769,65,9.4,24.38817388493859,1,3.24,55.83333333333334,60.0,25,8.961538461538463,24.395256410256415,1,2.3650793650793656,55.96590909090909,68.25396825396825,63,6.825396825396825,25.24068362193362,1,3,25.02897269274843,8.34299089758281,149
Shake Milton,-0.1,47.12643678160919,50.0,20,4.35,17.866609195402297,1,1.6071428571428572,49.18300653594771,75.0,28,13.833333333333336,26.14753734827264,1,-0.2,58.844765342960294,57.49999999999999,40,9.425,25.191191335740072,1,3,25.0162314312297,8.3387438104099,150
Rudy Gay,2.333333333333333,55.361930294906166,60.86956521739131,69,13.71014493,29.14338112592944,1,4.592592592592593,49.62962962962962,55.55555555555557,27,11.5,24.583333333333332,1,0.1791044776119403,50.83892617449665,44.77611940298507,67,10.835820895522387,24.844806170489836,1,3,25.007440350830517,8.33581345027684,151
